Data_Accession,Data_Name,Data_Metadata,Data_Author,Data_Year,Paper_Title,Paper_DOI,Paper_Year,Paper_Published,Paper_Link,Paper_Type,Paper_Metadata_Columns
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,Anemia in infancy is associated with alterations in systemic metabolism and microbial structure and function in a sex-specific manner: an observational study,https://doi.org/10.1093/ajcn/nqy249,2018,Yes,https://doi.org/10.1093/ajcn/nqy249,Original,
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,Nutrient supplementation does not exacerbate pathogenic inflammation in infants with iron deficiency anemia,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198250/192587,CURE,
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,A breast milk exclusive diet promotes dysbiosis in the gut microbiome of six-month-old anemic infants,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198145,CURE,
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,Anemia May Mask the Effects that Stunting has on the Dysbiosis of the Infant Gut Microbiota,,2024,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/199541,CURE,
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,Non-breast milk diet increases gut microbial diversity and inflammation in six-month-old infants,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198239,CURE,
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,Increase in gut microbiota taxonomic sensitivity to inflammation from 6 to 12 month infants,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198128,CURE,
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,Iron-deficiency anemia is associated with loss of gut microbial diversity in 6- and 12-month-old infants,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198168,CURE,
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,Ironing Out Anemia: High Inflammation Modulates Microbial Composition and Indicates the Activation of Cellular Stress Responses in Infected Anemic Infants,,2024,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/199566,CURE,
ERP104978,Anemia,/metadata/anemia_metadata.csv,McClorry,2018,"Bacterial Composition and Metabolic Pathways Differ in Six-Month-Old Infants from Peru and California, USA",,2024,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/199556,CURE,
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,Gut microbiota is associated with obesity and cardiometabolic disease in a population in the midst of Westernization,https://doi.org/10.1038/s41598-018-29687-x,2018,Yes,https://doi.org/10.1038/s41598-018-29687-x,Original,city;BMI_class;sex;age_range
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,The gut microbiota has no correlation to insulin sensitivity with respect to age,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198156,CURE,age_years;glucose;insulin
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,Microbial diversity of smokers is not influenced by dietary fiber intake although smoking alters functional pathway abundances,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198167,CURE,fiber;smoker
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,Colombian Prediabetic Patients Classified Using Glycosylated Hemoglobin or Fasting Plasma Glucose Present Distinct Microbiome Compositions,,2024,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/199509,CURE,Hemoglobin_a1c;glucose
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,The gut microbiome belonging to Colombian adults of younger generations has shifted to a more westernized composition compared to older generations,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198173,CURE,age_years;waist_circumference;Body_Fat_Percentage
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,Individuals with abnormal cardiometabolic statuses are more vulnerable to smoking-induced alterations of the gut microbiome in a Colombian population undergoing Westernization,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198169,CURE,Cardiometabolic_status;smoker
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,Dietary fiber consumption is associated with the selection of key microbial species but does not affect overall microbial diversity in a Colombian cohort,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198144,CURE,fiber;smoker
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,Exploring non-WEIRD populations gut microbiota: the relative importance of obesity metrics on gut microbiome diversity and composition in Colombian adults,,2023,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/198186,CURE,BMI_class;ALL_VARIABLES
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,Smoking in the Context of Westernized Diets is Associated with a More Volatile Microbiome and Predicted Gut Function,,2024,Yes,https://ojs.library.ubc.ca/index.php/UJEMI/article/view/199507,CURE,smoker;LDL
PRJNA417579,Colombia,/metadata/colombia_metadata.csv,de la Cuesta-Zuluaga,2018,Fibre Intake and Exercise May Promote a Healthier Shift in the Gut Microbiome of Individuals with Cardiovascular Disease,,,No,,CURE,
